ID des chaînes,URL des chaînes,Titres des chaînes
UC-04mJDJUYHEyE8JPIEa0-w,http://www.youtube.com/channel/UC-04mJDJUYHEyE8JPIEa0-w,Mediocre Amateur
UC-0ADczTyE6SKuKtWZHWVdg,http://www.youtube.com/channel/UC-0ADczTyE6SKuKtWZHWVdg,CyclingHub 16
UC-4WUubuVGowG_R7gdgesPA,http://www.youtube.com/channel/UC-4WUubuVGowG_R7gdgesPA,Max Bird
UC-8BAEcWSEs4-KQp1ULVnaQ,http://www.youtube.com/channel/UC-8BAEcWSEs4-KQp1ULVnaQ,Classic Tetris
UC-Kpp0NLi-Y3d7rKWscjZ3A,http://www.youtube.com/channel/UC-Kpp0NLi-Y3d7rKWscjZ3A,Chris Froome
UC-NwsBEyZqZnPc9OaCFJSsw,http://www.youtube.com/channel/UC-NwsBEyZqZnPc9OaCFJSsw,Rilès
UC-QcZISbFb9EiIEQ41cVhxw,http://www.youtube.com/channel/UC-QcZISbFb9EiIEQ41cVhxw,Science Mom
UC-SMVg5tKPpyjEHCSpxW9fw,http://www.youtube.com/channel/UC-SMVg5tKPpyjEHCSpxW9fw,The Badminton Experience
UC-bBRbx8sNGYoXDpsWpKIDg,http://www.youtube.com/channel/UC-bBRbx8sNGYoXDpsWpKIDg,Israel - Premier Tech
UC05iQ_IpU1R4Qu5bRbty04g,http://www.youtube.com/channel/UC05iQ_IpU1R4Qu5bRbty04g,Les graines de Pascal Poot
UC06E4Y_-ybJgBUMtXx8uNNw,http://www.youtube.com/channel/UC06E4Y_-ybJgBUMtXx8uNNw,TheBackyardScientist
UC0in5snOa3tXXPStXcxlllQ,http://www.youtube.com/channel/UC0in5snOa3tXXPStXcxlllQ,Seb Bouin
UC0k1SRsGd6THnCvsMulf2YA,http://www.youtube.com/channel/UC0k1SRsGd6THnCvsMulf2YA,Unibet Tietema Rockets
UC0vWI_4ksC3BbbM7Zn2P7_w,http://www.youtube.com/channel/UC0vWI_4ksC3BbbM7Zn2P7_w,LeFrancoisPerusse
UC176GAQozKKjhz62H8u9vQQ,http://www.youtube.com/channel/UC176GAQozKKjhz62H8u9vQQ,Real Science
UC1D3yD4wlPMico0dss264XA,http://www.youtube.com/channel/UC1D3yD4wlPMico0dss264XA,NileBlue
UC1Sawe7yLd2bh-0g_XVpD4w,http://www.youtube.com/channel/UC1Sawe7yLd2bh-0g_XVpD4w,CyclingHub
UC1XotrYlzRwI0FhWN_2bTLw,http://www.youtube.com/channel/UC1XotrYlzRwI0FhWN_2bTLw,Shuttle Flash 2 Official
UC1jWG0mvTHL6h8h8LPaKljg,http://www.youtube.com/channel/UC1jWG0mvTHL6h8h8LPaKljg,Laura Fletcher
